ParticipantNumber,OrganizationName,BirthDate,HouseholdAddressType,HouseholdPostalCode,FamilySize,TotalInHousehold,HouseholdType,FamilySetting,IncomeCategory,HouseholdEconomicStatus,TotalVisits,FirstVisitDate
23195,BGCDC Allied Branch,1940-04-02 00:00:00,,,,,,,,,2.0,2022-01-15
23194,BGCDC Allied Branch,1937-01-20 00:00:00,,,,,,,,,2.0,2022-01-15
21698,BGCDC Allied Branch,,,,,,,,,,2.0,2022-01-15
23598,BGCDC Allied Branch,,,,,,,,,,2.0,2022-01-15
24348,BGCDC Allied Branch,,,,,,,,,,2.0,2022-01-15
8074,BGCDC Taft Branch,2000-05-29 00:00:00,,,,2.0,,,,Unknown,0.0,
24476,BGCDC Allied Branch,1983-09-13 00:00:00,,,,,,,,,2.0,2022-01-15
26310,BGCDC Allied Branch,2021-11-20 00:00:00,,,,,,,,,1.0,2022-12-14
26309,BGCDC Allied Branch,2019-06-30 00:00:00,,,,,,,,,1.0,2022-12-14
26308,BGCDC Allied Branch,2016-06-23 00:00:00,,,,,,,,,1.0,2022-12-14
26307,BGCDC Allied Branch,2013-04-08 00:00:00,,,,,,,,,1.0,2022-12-14
2726,BGCDC Taft Branch,1998-12-22 00:00:00,Home,53711,4.0,3.0,Two Parents,Mother/Step-Parent,"$24,999 and under",Economically Disadvantaged,0.0,
8468,BGCDC Taft Branch,2001-01-14 00:00:00,,,,2.0,,,,Unknown,0.0,
7930,BGCDC Taft Branch,1999-12-12 00:00:00,,,,2.0,,,,Unknown,0.0,
16457,BGCDC Taft Branch,2006-07-25 00:00:00,Home,53711,4.0,2.0,Both Parents,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
29619,BGCDC Allied Branch,,,,,,,,,,0.0,
31683,BGCDC Allied Branch,2011-01-01 00:00:00,,,,,,,,,1.0,2023-11-02
31260,BGCDC Allied Branch,2011-01-01 00:00:00,,,,,,,,,3.0,2023-11-08
29696,BGCDC Allied Branch,,,,,,,,,,0.0,
31337,BGCDC Allied Branch,2011-01-01 00:00:00,,,,,,,,,3.0,2023-12-04
31760,BGCDC Allied Branch,2011-01-01 00:00:00,,,,,,,,,3.0,2023-11-28
30566,BGCDC Allied Branch,2021-04-07 00:00:00,,,,1.0,,,,Unknown,0.0,
30565,BGCDC Allied Branch,2019-04-03 00:00:00,,,,1.0,,,,Unknown,0.0,
17994,BGCDC Sun Prairie,1987-03-18 00:00:00,,,,,,,,,0.0,
30907,BGCDC Allied Branch,,,,,1.0,,,,Unknown,0.0,
19194,BGCDC Allied Branch,2017-10-05 00:00:00,Home,53716,5.0,5.0,,,"$24,999 and under",Economically Disadvantaged,3.0,2021-12-01
10258,BGCDC Walco,2006-01-09 00:00:00,,,,,,,,,0.0,
4062,BGCDC Taft Branch,2004-12-08 00:00:00,Home,53713,4.0,3.0,,Mother/ Other,"$24,999 and under",Economically Disadvantaged,0.0,
16997,BGCDC Allied Branch,1985-04-05 00:00:00,,,,,,,,,0.0,
3440,BGCDC Taft Branch,1995-03-02 00:00:00,Home,53713,,1.0,,Both Parents,,Unknown,0.0,
19193,BGCDC Allied Branch,2010-11-12 00:00:00,Home,53716,5.0,5.0,,,"$24,999 and under",Economically Disadvantaged,2.0,2022-01-15
18922,BGC Dane County/Admin,1975-09-17 00:00:00,,,,,,,,,1.0,2021-11-27
1913,BGCDC Taft Branch,1990-08-25 00:00:00,Home,53713,,4.0,,Both Parents,,Unknown,0.0,
29024,BGCDC Allied Branch,,,,,,,,,,0.0,
60,BGCDC Taft Branch,1991-05-05 00:00:00,,,,3.0,,Both Parents,,Unknown,0.0,
4194,BGCDC Allied Branch,1996-02-05 00:00:00,Home,53719,2.0,2.0,,Father,Unknown,Economically Disadvantaged,0.0,
28982,BGCDC Allied Branch,2009-06-14 00:00:00,,,,,,,,,16.0,2023-10-06
